fiscal_year,year,month,phase,sale_period,bond_type,transaction_type,bonds,amount,units
2022-23,2022,July,21,1st July to 10th July 2022,One Lakh Bond,Redeemed or Encashed Bonds,10,1000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,July,21,1st July to 10th July 2022,One Lakh Bond,Sold or Purchased Bonds,10,1000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,July,21,1st July to 10th July 2022,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,July,21,1st July to 10th July 2022,One Thousand Bond,Sold or Purchased Bonds,5,5000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,July,21,1st July to 10th July 2022,One Thousand Bond,Bonds Transferred to PMNRF,5,5000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,July,21,1st July to 10th July 2022,Ten Lakh Bond,Redeemed or Encashed Bonds,84,84000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,July,21,1st July to 10th July 2022,Ten Lakh Bond,Sold or Purchased Bonds,84,84000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,July,21,1st July to 10th July 2022,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,One Crore Bond,Redeemed or Encashed Bonds,640,6400000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,One Crore Bond,Sold or Purchased Bonds,640,6400000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,One Lakh Bond,Redeemed or Encashed Bonds,55,5500000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,One Lakh Bond,Sold or Purchased Bonds,55,5500000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,Ten Lakh Bond,Redeemed or Encashed Bonds,79,79000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,Ten Lakh Bond,Sold or Purchased Bonds,79,79000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,Ten Thousand Bond,Redeemed or Encashed Bonds,37,370000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,Ten Thousand Bond,Sold or Purchased Bonds,37,370000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,April,20,01st April to 10th April 2022,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
