fiscal_year,political_party,party_status,category,value,unit,note
2018-19,Janata Dal (Secular),Recognized State Party,Party's Total Income,428967758,value in indian rupees,
2018-19,Janata Dal (Secular),Recognized State Party,"Income through Grants, Donations and Contributions",428844542,value in indian rupees,
2018-19,Indian National Congress,Recognized National Party,Income through Electoral Bonds,3832601000,value in indian rupees,
2018-19,Indian National Congress,Recognized National Party,Party's Total Income,9180376172,value in indian rupees,
2018-19,Indian National Congress,Recognized National Party,"Income through Grants, Donations and Contributions",5515572407,value in indian rupees,
2018-19,Biju Janata Dal,Recognized State Party,Income through Electoral Bonds,2135000000,value in indian rupees,
2018-19,Biju Janata Dal,Recognized State Party,Party's Total Income,2493140387,value in indian rupees,
2018-19,Biju Janata Dal,Recognized State Party,"Income through Grants, Donations and Contributions",2428660800,value in indian rupees,
2018-19,Bhartiya Janata Party,Recognized National Party,Income through Electoral Bonds,14508905000,value in indian rupees,
2018-19,Bhartiya Janata Party,Recognized National Party,Party's Total Income,24100836178,value in indian rupees,
2018-19,Bhartiya Janata Party,Recognized National Party,"Income through Grants, Donations and Contributions",23540254712,value in indian rupees,
2018-19,Bharat Rashtra Samithi,Recognized State Party,Income through Electoral Bonds,1415000000,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2018-19,Bharat Rashtra Samithi,Recognized State Party,Party's Total Income,1887174858,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2018-19,Bharat Rashtra Samithi,Recognized State Party,"Income through Grants, Donations and Contributions",1827228789,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2018-19,All India Trinamool Congress,Recognized National Party,Income through Electoral Bonds,972800000,value in indian rupees,
2018-19,All India Trinamool Congress,Recognized National Party,Party's Total Income,1926573607,value in indian rupees,
2018-19,All India Trinamool Congress,Recognized National Party,"Income through Grants, Donations and Contributions",1415400517,value in indian rupees,
2018-19,Goa Forward Party,Recognized State Party,Income through Electoral Bonds,5000000,value in indian rupees,
2017-18,Indian National Congress,Recognized National Party,Income through Electoral Bonds,50000000,value in indian rupees,
2017-18,Indian National Congress,Recognized National Party,Party's Total Income,1991526560,value in indian rupees,
2017-18,Indian National Congress,Recognized National Party,"Income through Grants, Donations and Contributions",324509166,value in indian rupees,
2017-18,Bhartiya Janata Party,Recognized National Party,Income through Electoral Bonds,2100002000,value in indian rupees,
2017-18,Bhartiya Janata Party,Recognized National Party,Party's Total Income,10273396540,value in indian rupees,
2017-18,Bhartiya Janata Party,Recognized National Party,"Income through Grants, Donations and Contributions",9897077200,value in indian rupees,
